fm_id,name,website,facebook,twitter,youtube,other_media,street,city,county,state,zip,season_1_date,season_1_time,season_2_date,season_2_time,season_3_date,season_3_time,season_4_date,season_4_time,longitude,latitude,latlng,location,credit,wic,wic_cash,sfmnp,snap,organic,baked_goods,cheese,crafts,flowers,eggs,seafood,herbs,vegetables,honey,jams,maple,meat,nursery,nuts,plants,poultry,prepared,soap,trees,wine,coffee,beans,fruits,grains,juices,mushrooms,pet_food,tofu,wild_harvested,date_updated
1012063, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,Danville ,Caledonia,VT,5828,06/08/2016 to 10/12/2016,Wed: 9:00 AM-1:00 PM;,,,,,,,-72.140305,44.411013,POINT(44.411013 -72.140305),,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,6/28/16 12:10
1011871, Stearns Homestead Farmers' Market,http://Stearnshomestead.com,,,,,6975 Ridge Road,Parma ,Cuyahoga,OH,44130,06/25/2016 to 10/01/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-81.7285969,41.375118,POINT(41.375118 -81.7285969),,Y,Y,N,Y,Y,-,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,4/9/16 20:05
1011878,100 Mile Market,http://www.pfcmarkets.com,https://www.facebook.com/100MileMarket/?fref=ts,,,https://www.instagram.com/100milemarket/,507 Harrison St,Kalamazoo,Kalamazoo,MI,49007,05/04/2016 to 10/12/2016,Wed: 3:00 PM-7:00 PM;,,,,,,,-85.574887,42.296024,POINT(42.296024 -85.574887),,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,7/15/16 19:20
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,,,,106 S. Main Street,Six Mile,,SC,29682,,,,,,,,,-82.8187,34.8042,POINT(34.8042 -82.8187),,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013
1010691,10th Steet Community Farmers Market,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10th Street and Poplar,Lamar ,Barton,MO,64759,04/02/2014 to 11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-94.2746191,37.495628,POINT(37.495628 -94.2746191),,Y,N,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,10/28/14 9:49
1002454,112st Madison Avenue,,,,,,112th Madison Avenue,New York,New York,NY,10029,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.9493,40.7939,POINT(40.7939 -73.9493),Private business parking lot,N,N,Y,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/1/12 10:38
1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt,3000 Granny White Pike,Nashville,Davidson,TN,37204,05/05/2015 to 10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,,-86.790709,36.11837,POINT(36.11837 -86.790709),,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/1/15 10:40
1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,NY,10027,06/10/2014 to 11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,,-73.9482477,40.8089533,POINT(40.8089533 -73.9482477),Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/7/14 16:32
1005586,12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,12th & Brandywine Streets,Wilmington,New Castle,DE,19801,05/16/2014 to 10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,,-75.53446,39.742117,POINT(39.742117 -75.53446),"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/3/14 15:43
1008071,14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,1400 U Street NW ,Washington,District of Columbia,DC,20009,05/03/2014 to 11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0320505,38.9169984,POINT(38.9169984 -77.0320505),Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,4/5/14 13:49
1012710,14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm,"5500 Colorado Avenue, NW",Washington ,District of Columbia,DC,20011,04/09/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0334486,38.9559783,POINT(38.9559783 -77.0334486),,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,7/20/16 11:16
1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,,175th Street between Wadsworth & Broadway,New York ,New York,NY,10033,06/29/2017 to 11/22/2017,Tue: 8:00 AM-6:00 PM;,,,,,,,-73.938049,40.846354,POINT(40.846354 -73.938049),,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/16 12:06
1003877,17th Ave Market,http://www.iatp.org/minimarkets,,,,,1622 6th St NE,Minneapolis,Hennepin,MN,55413,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.2591,45.0044,POINT(45.0044 -93.2591),"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,-,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/11 14:33
1016784,17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,,100 North 17th St.,Richmond ,Richmond City,VA,23219,06/08/2017 to ,Thu: 3:00 PM-6:30 PM;,,,,,,,-77.428364,37.53385,POINT(37.53385 -77.428364),,Y,N,N,N,Y,-,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/16 12:13
